1 2 6 9 11 12 15 stop 
0 3 4 stop stop stop stop stop 
0 4 8 stop stop stop stop stop 
1 12 24 27 34 stop stop stop 
1 2 5 26 27 stop stop stop 
4 8 33 323 344 stop stop stop 
0 7 8 stop stop stop stop stop 
6 9 324 325 stop stop stop stop 
2 5 6 320 324 stop stop stop 
0 7 10 16 17 stop stop stop 
9 325 stop stop stop stop stop stop 
0 13 18 stop stop stop stop stop 
0 3 13 stop stop stop stop stop 
11 12 14 21 24 stop stop stop 
13 18 19 20 stop stop stop stop 
0 16 18 stop stop stop stop stop 
9 15 stop stop stop stop stop stop 
9 stop stop stop stop stop stop stop 
11 14 15 stop stop stop stop stop 
14 22 stop stop stop stop stop stop 
14 21 22 stop stop stop stop stop 
13 20 36 38 stop stop stop stop 
19 20 23 38 39 stop stop stop 
22 296 stop stop stop stop stop stop 
3 13 36 stop stop stop stop stop 
26 27 28 30 34 35 40 stop 
4 25 33 stop stop stop stop stop 
3 4 25 stop stop stop stop stop 
25 29 33 stop stop stop stop stop 
28 30 47 56 stop stop stop stop 
25 29 31 41 43 stop stop stop 
30 32 47 stop stop stop stop stop 
31 43 46 308 309 stop stop stop 
5 26 28 55 56 stop stop stop 
3 25 36 stop stop stop stop stop 
25 36 42 stop stop stop stop stop 
21 24 34 35 37 stop stop stop 
36 38 39 42 316 318 stop stop 
21 22 37 stop stop stop stop stop 
22 37 296 stop stop stop stop stop 
25 41 42 stop stop stop stop stop 
30 40 307 317 stop stop stop stop 
35 37 40 314 317 stop stop stop 
30 32 307 stop stop stop stop stop 
45 46 49 51 309 310 313 stop 
44 47 54 stop stop stop stop stop 
32 44 47 stop stop stop stop stop 
29 31 45 46 48 stop stop stop 
47 54 55 56 349 350 stop stop 
44 50 54 stop stop stop stop stop 
49 51 108 351 stop stop stop stop 
44 50 52 275 277 stop stop stop 
51 53 108 stop stop stop stop stop 
52 109 165 221 277 stop stop stop 
45 48 49 348 351 stop stop stop 
33 48 344 stop stop stop stop stop 
29 33 48 stop stop stop stop stop 
58 59 63 66 68 69 72 stop 
57 60 61 stop stop stop stop stop 
57 61 65 stop stop stop stop stop 
58 69 81 84 91 stop stop stop 
58 59 62 83 84 stop stop stop 
61 65 90 361 382 stop stop stop 
57 64 65 stop stop stop stop stop 
63 66 362 363 stop stop stop stop 
59 62 63 358 362 stop stop stop 
57 64 67 73 74 stop stop stop 
66 363 stop stop stop stop stop stop 
57 70 75 stop stop stop stop stop 
57 60 70 stop stop stop stop stop 
68 69 71 78 81 stop stop stop 
70 75 76 77 stop stop stop stop 
57 73 75 stop stop stop stop stop 
66 72 stop stop stop stop stop stop 
66 stop stop stop stop stop stop stop 
68 71 72 stop stop stop stop stop 
71 79 stop stop stop stop stop stop 
71 78 79 stop stop stop stop stop 
70 77 93 95 stop stop stop stop 
76 77 80 95 96 stop stop stop 
79 334 stop stop stop stop stop stop 
60 70 93 stop stop stop stop stop 
83 84 85 87 91 92 97 stop 
61 82 90 stop stop stop stop stop 
60 61 82 stop stop stop stop stop 
82 86 90 stop stop stop stop stop 
85 87 104 112 stop stop stop stop 
82 86 88 98 100 stop stop stop 
87 89 104 stop stop stop stop stop 
88 100 103 346 347 stop stop stop 
62 83 85 111 112 stop stop stop 
60 82 93 stop stop stop stop stop 
82 93 99 stop stop stop stop stop 
78 81 91 92 94 stop stop stop 
93 95 96 99 354 356 stop stop 
78 79 94 stop stop stop stop stop 
79 94 334 stop stop stop stop stop 
82 98 99 stop stop stop stop stop 
87 97 345 355 stop stop stop stop 
92 94 97 352 355 stop stop stop 
87 89 345 stop stop stop stop stop 
102 103 106 108 347 348 351 stop 
101 104 110 stop stop stop stop stop 
89 101 104 stop stop stop stop stop 
86 88 102 103 105 stop stop stop 
104 110 111 112 387 388 stop stop 
101 107 110 stop stop stop stop stop 
106 108 164 389 stop stop stop stop 
50 52 101 107 109 stop stop stop 
53 108 164 stop stop stop stop stop 
102 105 106 386 389 stop stop stop 
90 105 382 stop stop stop stop stop 
86 90 105 stop stop stop stop stop 
114 115 119 122 124 125 128 stop 
113 116 117 stop stop stop stop stop 
113 117 121 stop stop stop stop stop 
114 125 137 140 147 stop stop stop 
114 115 118 139 140 stop stop stop 
117 121 146 399 420 stop stop stop 
113 120 121 stop stop stop stop stop 
119 122 400 401 stop stop stop stop 
115 118 119 396 400 stop stop stop 
113 120 123 129 130 stop stop stop 
122 401 stop stop stop stop stop stop 
113 126 131 stop stop stop stop stop 
113 116 126 stop stop stop stop stop 
124 125 127 134 137 stop stop stop 
126 131 132 133 stop stop stop stop 
113 129 131 stop stop stop stop stop 
122 128 stop stop stop stop stop stop 
122 stop stop stop stop stop stop stop 
124 127 128 stop stop stop stop stop 
127 135 stop stop stop stop stop stop 
127 134 135 stop stop stop stop stop 
126 133 149 151 stop stop stop stop 
132 133 136 151 152 stop stop stop 
135 372 stop stop stop stop stop stop 
116 126 149 stop stop stop stop stop 
139 140 141 143 147 148 153 stop 
117 138 146 stop stop stop stop stop 
116 117 138 stop stop stop stop stop 
138 142 146 stop stop stop stop stop 
141 143 160 168 stop stop stop stop 
138 142 144 154 156 stop stop stop 
143 145 160 stop stop stop stop stop 
144 156 159 384 385 stop stop stop 
118 139 141 167 168 stop stop stop 
116 138 149 stop stop stop stop stop 
138 149 155 stop stop stop stop stop 
134 137 147 148 150 stop stop stop 
149 151 152 155 392 394 stop stop 
134 135 150 stop stop stop stop stop 
135 150 372 stop stop stop stop stop 
138 154 155 stop stop stop stop stop 
143 153 383 393 stop stop stop stop 
148 150 153 390 393 stop stop stop 
143 145 383 stop stop stop stop stop 
158 159 162 164 385 386 389 stop 
157 160 166 stop stop stop stop stop 
145 157 160 stop stop stop stop stop 
142 144 158 159 161 stop stop stop 
160 166 167 168 425 426 stop stop 
157 163 166 stop stop stop stop stop 
162 164 220 427 stop stop stop stop 
107 109 157 163 165 stop stop stop 
53 164 220 stop stop stop stop stop 
158 161 162 424 427 stop stop stop 
146 161 420 stop stop stop stop stop 
142 146 161 stop stop stop stop stop 
170 171 175 178 180 181 184 stop 
169 172 173 stop stop stop stop stop 
169 173 177 stop stop stop stop stop 
170 181 193 196 203 stop stop stop 
170 171 174 195 196 stop stop stop 
173 177 202 437 458 stop stop stop 
169 176 177 stop stop stop stop stop 
175 178 438 439 stop stop stop stop 
171 174 175 434 438 stop stop stop 
169 176 179 185 186 stop stop stop 
178 439 stop stop stop stop stop stop 
169 182 187 stop stop stop stop stop 
169 172 182 stop stop stop stop stop 
180 181 183 190 193 stop stop stop 
182 187 188 189 stop stop stop stop 
169 185 187 stop stop stop stop stop 
178 184 stop stop stop stop stop stop 
178 stop stop stop stop stop stop stop 
180 183 184 stop stop stop stop stop 
183 191 stop stop stop stop stop stop 
183 190 191 stop stop stop stop stop 
182 189 205 207 stop stop stop stop 
188 189 192 207 208 stop stop stop 
191 410 stop stop stop stop stop stop 
172 182 205 stop stop stop stop stop 
195 196 197 199 203 204 209 stop 
173 194 202 stop stop stop stop stop 
172 173 194 stop stop stop stop stop 
194 198 202 stop stop stop stop stop 
197 199 216 224 stop stop stop stop 
194 198 200 210 212 stop stop stop 
199 201 216 stop stop stop stop stop 
200 212 215 422 423 stop stop stop 
174 195 197 223 224 stop stop stop 
172 194 205 stop stop stop stop stop 
194 205 211 stop stop stop stop stop 
190 193 203 204 206 stop stop stop 
205 207 208 211 430 432 stop stop 
190 191 206 stop stop stop stop stop 
191 206 410 stop stop stop stop stop 
194 210 211 stop stop stop stop stop 
199 209 421 431 stop stop stop stop 
204 206 209 428 431 stop stop stop 
199 201 421 stop stop stop stop stop 
214 215 218 220 423 424 427 stop 
213 216 222 stop stop stop stop stop 
201 213 216 stop stop stop stop stop 
198 200 214 215 217 stop stop stop 
216 222 223 224 463 464 stop stop 
213 219 222 stop stop stop stop stop 
218 220 276 465 stop stop stop stop 
163 165 213 219 221 stop stop stop 
53 220 276 stop stop stop stop stop 
214 217 218 462 465 stop stop stop 
202 217 458 stop stop stop stop stop 
198 202 217 stop stop stop stop stop 
226 227 231 234 236 237 240 stop 
225 228 229 stop stop stop stop stop 
225 229 233 stop stop stop stop stop 
226 237 249 252 259 stop stop stop 
226 227 230 251 252 stop stop stop 
229 233 258 285 306 stop stop stop 
225 232 233 stop stop stop stop stop 
231 234 286 287 stop stop stop stop 
227 230 231 282 286 stop stop stop 
225 232 235 241 242 stop stop stop 
234 287 stop stop stop stop stop stop 
225 238 243 stop stop stop stop stop 
225 228 238 stop stop stop stop stop 
236 237 239 246 249 stop stop stop 
238 243 244 245 stop stop stop stop 
225 241 243 stop stop stop stop stop 
234 240 stop stop stop stop stop stop 
234 stop stop stop stop stop stop stop 
236 239 240 stop stop stop stop stop 
239 247 stop stop stop stop stop stop 
239 246 247 stop stop stop stop stop 
238 245 261 263 stop stop stop stop 
244 245 248 263 264 stop stop stop 
247 448 stop stop stop stop stop stop 
228 238 261 stop stop stop stop stop 
251 252 253 255 259 260 265 stop 
229 250 258 stop stop stop stop stop 
228 229 250 stop stop stop stop stop 
250 254 258 stop stop stop stop stop 
253 255 272 280 stop stop stop stop 
250 254 256 266 268 stop stop stop 
255 257 272 stop stop stop stop stop 
256 268 271 460 461 stop stop stop 
230 251 253 279 280 stop stop stop 
228 250 261 stop stop stop stop stop 
250 261 267 stop stop stop stop stop 
246 249 259 260 262 stop stop stop 
261 263 264 267 468 470 stop stop 
246 247 262 stop stop stop stop stop 
247 262 448 stop stop stop stop stop 
250 266 267 stop stop stop stop stop 
255 265 459 469 stop stop stop stop 
260 262 265 466 469 stop stop stop 
255 257 459 stop stop stop stop stop 
270 271 274 276 461 462 465 stop 
269 272 278 stop stop stop stop stop 
257 269 272 stop stop stop stop stop 
254 256 270 271 273 stop stop stop 
272 278 279 280 311 312 stop stop 
269 275 278 stop stop stop stop stop 
51 274 276 313 stop stop stop stop 
219 221 269 275 277 stop stop stop 
51 53 276 stop stop stop stop stop 
270 273 274 310 313 stop stop stop 
258 273 306 stop stop stop stop stop 
254 258 273 stop stop stop stop stop 
282 283 286 287 288 289 297 stop 
233 281 285 stop stop stop stop stop 
281 284 285 stop stop stop stop stop 
283 288 295 302 315 stop stop stop 
230 282 283 302 303 stop stop stop 
232 233 281 stop stop stop stop stop 
232 235 281 298 300 stop stop stop 
281 284 290 stop stop stop stop stop 
281 290 299 stop stop stop stop stop 
288 289 291 294 295 stop stop stop 
290 292 293 299 stop stop stop stop 
